"method","outcome","n","beta","se","t","p_wcr"
"Pre-WTO IV (1992-1996 KR-CN imports)","despair_total",221,-0.123213854670026,0.0352206583089012,-3.49834047931145,0.0004000400040004
"Pre-WTO IV (1992-1996 KR-CN imports)","cancer",221,-0.0596682417055018,0.0327577815626484,-1.82149824741299,0.185018501850185
"Pre-WTO IV (1992-1996 KR-CN imports)","cardiovascular",221,-0.0764414913504526,0.0265654381585657,-2.87747903475874,0.0243024302430243
"Pre-WTO IV (1992-1996 KR-CN imports)","respiratory",219,0.100736382792432,0.0420326789402354,2.39662056600449,0.0923092309230923
"Pre-WTO IV (1992-1996 KR-CN imports)","external_other",221,-0.0057425229660805,0.0382881642268369,-0.149981674024879,0.895589558955896
