layer,SE,t,p,beta,n,G,F_first_stage_cluster_sido,baseline_year
HC1,0.03297884900265534,-2.645545062069767,0.008155942318211151,-0.08724703113171929,235,17,18.308591710922773,1999
"Cluster-province (G=17, t-dist)",0.03495714887549808,-2.495828004808249,0.02387372793085274,-0.08724703113171929,235,17,18.308591710922773,1999
AKM-proper (Kolesár 2024),,,,-0.08724703113171929,235,17,18.308591710922773,1999
Conley 5 km,0.03212245110498838,-2.7160763930050926,0.006606067302309837,-0.08724703113171929,235,17,18.308591710922773,1999
Conley 10 km,0.03277223560442809,-2.6622239686306517,0.007762620835017886,-0.08724703113171929,235,17,18.308591710922773,1999
WCR Webb 6-pt (B=9999),,,0.32233223322332233,-0.08724703113171929,235,17,18.308591710922773,1999
