"method","outcome","n","beta","se","t","p_wcr"
"Drop-C26","despair_total",221,-0.128991393253701,0.0349316004296751,-3.6926848946812,0.0001000100010001
"Drop-Top-3","despair_total",221,-0.123586356055898,0.0363020780016688,-3.40438792650428,0.0001000100010001
