layer,SE,t,p,beta,n,G
HC1 (White 1980),0.02599712268132823,-4.921592996037281,8.584259423294327e-07,-0.12794725690554695,221,16
"Cluster-sido CR1 (G=16, t-dist)",0.03186248517840909,-4.015608204731237,0.001123099347402512,-0.12794725690554695,221,16
"Cluster-sido CR1 (G=16, normal)",0.03186248517840909,-4.015608204731237,5.929268700421986e-05,-0.12794725690554695,221,16
"AKM-proper (Kolesár 2024, external)",0.025848,-4.949986726460343,8.5843e-07,-0.12794725690554695,221,16
Conley 5 km (uniform kernel),0.02630640206573614,-4.8637307597528565,1.1519358347200637e-06,-0.12794725690554695,221,16
Conley 10 km (uniform kernel),0.02800157060618324,-4.5692885840229955,4.89382546442485e-06,-0.12794725690554695,221,16
"WCR Webb 6-pt (B=9999, external)",,,0.00010001000100010001,-0.12794725690554695,221,16
