"method","outcome","n","beta","se","t"
"Year FE panel","despair_total",5555,0.0919476399112036,0.0278996035724012,3.29566116137076
"Year FE panel","cancer",5555,0.0632822680181325,0.0175557116230035,3.60465410785244
"Year FE panel","cardiovascular",5547,0.0645843119405113,0.0249668341767896,2.58680421727446
"Year FE panel","respiratory",5143,0.264663261212186,0.0532917319290137,4.9663100002966
"Year FE panel","external_other",5543,0.146604774216025,0.0456294910327295,3.21293906414312
