"baseline","outcome","n","beta","se","t","p_wcr"
"1992 (winsorized)","despair_total",209,-0.0639797544161185,0.0293519061035851,-2.17974785658993,0.084008400840084
"1992 (winsorized)","cancer",209,-0.0129057553277172,0.0144573580560161,-0.892677298142088,0.413741374137414
"1992 (winsorized)","cardiovascular",209,-0.0436836525678061,0.0299642244200207,-1.457860278827,0.0838083808380838
"1992 (winsorized)","respiratory",207,0.0228278712435315,0.0261461092293421,0.87308865129016,0.38043804380438
"1992 (winsorized)","external_other",209,-0.000923401542089344,0.0256911434508311,-0.0359424073068835,0.982998299829983
