"outcome","n","beta","se","t","p_wcr_webb","G"
"despair_total",221,-0.127212387489216,0.0316794819124367,-4.01560820473124,0,16
"cancer",221,-0.0498773157193744,0.0303692161987898,-1.64236427416793,0.22032203220322,16
"cardiovascular",221,-0.0697075046091557,0.0225752393748416,-3.08778584588739,0.016001600160016,16
"respiratory",219,0.0753822230537175,0.0456985742896819,1.64955305992419,0.125912591259126,16
"external_other",221,-0.0171824043361624,0.0394398935897502,-0.435660514576738,0.693769376937694,16
