"outcome","t_obs","beta","p_rw"
"despair_total",-4.56213656936829,-0.133095066248592,0.717871787178718
"cancer",-1.45944726806077,-0.0450514734520384,0.824482448244825
"cardiovascular",-2.80948210966644,-0.0643567735002964,0.717871787178718
"respiratory",1.64955305992419,0.0753822230537175,0.824482448244825
"external_other",-0.488929863056841,-0.0195822955824726,0.824482448244825
