ksic2,hs6,weight,ksic2_name
1,010110,0.3333333333333333,농업
1,010111,0.3333333333333333,농업
1,010119,0.3333333333333333,농업
1,010120,0.3333333333333333,농업
1,010121,0.3333333333333333,농업
1,010129,0.3333333333333333,농업
1,010130,0.3333333333333333,농업
1,010190,0.3333333333333333,농업
1,010210,0.3333333333333333,농업
1,010221,0.3333333333333333,농업
1,010229,0.3333333333333333,농업
1,010231,0.3333333333333333,농업
1,010239,0.3333333333333333,농업
1,010290,0.3333333333333333,농업
1,010310,0.3333333333333333,농업
1,010391,0.3333333333333333,농업
1,010392,0.3333333333333333,농업
1,010410,0.3333333333333333,농업
1,010420,0.3333333333333333,농업
1,010511,0.3333333333333333,농업
1,010512,0.3333333333333333,농업
1,010513,0.3333333333333333,농업
1,010514,0.3333333333333333,농업
1,010515,0.3333333333333333,농업
1,010519,0.3333333333333333,농업
1,010591,0.3333333333333333,농업
1,010592,0.3333333333333333,농업
1,010593,0.3333333333333333,농업
1,010594,0.3333333333333333,농업
1,010599,0.3333333333333333,농업
1,010600,0.3333333333333333,농업
1,010611,0.3333333333333333,농업
1,010612,0.3333333333333333,농업
1,010613,0.3333333333333333,농업
1,010614,0.3333333333333333,농업
1,010619,0.3333333333333333,농업
1,010620,0.3333333333333333,농업
1,010631,0.3333333333333333,농업
1,010632,0.3333333333333333,농업
1,010633,0.3333333333333333,농업
1,010639,0.3333333333333333,농업
1,010641,0.3333333333333333,농업
1,010649,0.3333333333333333,농업
1,010690,0.3333333333333333,농업
1,030110,0.3333333333333333,농업
1,030111,0.3333333333333333,농업
1,030119,0.3333333333333333,농업
1,030191,0.3333333333333333,농업
1,030192,0.3333333333333333,농업
1,030193,0.3333333333333333,농업
1,030194,0.3333333333333333,농업
1,030195,0.3333333333333333,농업
1,030199,0.3333333333333333,농업
1,040900,0.3333333333333333,농업
1,041000,0.3333333333333333,농업
1,041010,0.3333333333333333,농업
1,041090,0.3333333333333333,농업
1,050100,0.3333333333333333,농업
1,050210,0.3333333333333333,농업
1,050290,0.3333333333333333,농업
1,050300,0.3333333333333333,농업
1,050510,0.3333333333333333,농업
