year,sido_code,sido_name,raw_code,sigungu_name,code_len
2023,34,충청남도,34040,아산시,5
2023,34,충청남도,34050,서산시,5
2023,34,충청남도,34060,논산시,5
2023,34,충청남도,34070,계룡시,5
2023,34,충청남도,34080,당진시,5
2023,34,충청남도,34510,금산군,5
2023,34,충청남도,34530,부여군,5
2023,34,충청남도,34540,서천군,5
2023,34,충청남도,34550,청양군,5
2023,34,충청남도,34560,홍성군,5
2023,34,충청남도,34570,예산군,5
2023,34,충청남도,34580,태안군,5
2023,35,전라북도,35010,전주시,5
2023,35,전라북도,35011,완산구,5
2023,35,전라북도,35012,덕진구,5
2023,35,전라북도,35020,군산시,5
2023,35,전라북도,35030,익산시,5
2023,35,전라북도,35040,정읍시,5
2023,35,전라북도,35050,남원시,5
2023,35,전라북도,35060,김제시,5
2023,35,전라북도,35510,완주군,5
2023,35,전라북도,35520,진안군,5
2023,35,전라북도,35530,무주군,5
2023,35,전라북도,35540,장수군,5
2023,35,전라북도,35550,임실군,5
2023,35,전라북도,35560,순창군,5
2023,35,전라북도,35570,고창군,5
2023,35,전라북도,35580,부안군,5
2023,36,전라남도,36010,목포시,5
2023,36,전라남도,36020,여수시,5
2023,36,전라남도,36030,순천시,5
2023,36,전라남도,36040,나주시,5
2023,36,전라남도,36060,광양시,5
2023,36,전라남도,36510,담양군,5
2023,36,전라남도,36520,곡성군,5
2023,36,전라남도,36530,구례군,5
2023,36,전라남도,36550,고흥군,5
2023,36,전라남도,36560,보성군,5
2023,36,전라남도,36570,화순군,5
2023,36,전라남도,36580,장흥군,5
2023,36,전라남도,36590,강진군,5
2023,36,전라남도,36600,해남군,5
2023,36,전라남도,36610,영암군,5
2023,36,전라남도,36620,무안군,5
2023,36,전라남도,36630,함평군,5
2023,36,전라남도,36640,영광군,5
2023,36,전라남도,36650,장성군,5
2023,36,전라남도,36660,완도군,5
2023,36,전라남도,36670,진도군,5
2023,36,전라남도,36680,신안군,5
2023,37,경상북도,37010,포항시,5
2023,37,경상북도,37011,남구,5
2023,37,경상북도,37012,북구,5
2023,37,경상북도,37020,경주시,5
2023,37,경상북도,37030,김천시,5
2023,37,경상북도,37040,안동시,5
2023,37,경상북도,37050,구미시,5
2023,37,경상북도,37060,영주시,5
2023,37,경상북도,37070,영천시,5
2023,37,경상북도,37080,상주시,5
2023,37,경상북도,37090,문경시,5
2023,37,경상북도,37100,경산시,5
2023,37,경상북도,37520,의성군,5
2023,37,경상북도,37530,청송군,5
2023,37,경상북도,37540,영양군,5
2023,37,경상북도,37550,영덕군,5
2023,37,경상북도,37560,청도군,5
2023,37,경상북도,37570,고령군,5
2023,37,경상북도,37580,성주군,5
2023,37,경상북도,37590,칠곡군,5
2023,37,경상북도,37600,예천군,5
2023,37,경상북도,37610,봉화군,5
2023,37,경상북도,37620,울진군,5
2023,37,경상북도,37630,울릉군,5
2023,38,경상남도,38030,진주시,5
2023,38,경상남도,38050,통영시,5
2023,38,경상남도,38060,사천시,5
2023,38,경상남도,38070,김해시,5
2023,38,경상남도,38080,밀양시,5
2023,38,경상남도,38090,거제시,5
2023,38,경상남도,38100,양산시,5
2023,38,경상남도,38110,창원시,5
2023,38,경상남도,38111,의창구,5
2023,38,경상남도,38112,성산구,5
2023,38,경상남도,38113,마산합포구,5
2023,38,경상남도,38114,마산회원구,5
2023,38,경상남도,38115,진해구,5
2023,38,경상남도,38510,의령군,5
2023,38,경상남도,38520,함안군,5
2023,38,경상남도,38530,창녕군,5
2023,38,경상남도,38540,고성군,5
2023,38,경상남도,38550,남해군,5
2023,38,경상남도,38560,하동군,5
2023,38,경상남도,38570,산청군,5
2023,38,경상남도,38580,함양군,5
2023,38,경상남도,38590,거창군,5
2023,38,경상남도,38600,합천군,5
2023,39,제주특별자치도,39010,제주시,5
2023,39,제주특별자치도,39020,서귀포시,5
