sgguCd,h_code,sigungu_name,sido_name_short,sido_name_full,status
350013,35320.0,진안군,전북,전라북도,MATCH
350100,35020.0,군산시,전북,전라북도,MATCH
350200,35050.0,남원시,전북,전라북도,MATCH
350300,35030.0,익산시,전북,전라북도,MATCH
350401,35011.0,전주완산구,전북,전라북도,MATCH
350402,35012.0,전주덕진구,전북,전라북도,MATCH
350500,35040.0,정읍시,전북,전라북도,MATCH
350600,35060.0,김제시,전북,전라북도,MATCH
360001,36390.0,강진군,전남,전라남도,MATCH
360002,36350.0,고흥군,전남,전라남도,MATCH
360003,36320.0,곡성군,전남,전라남도,MATCH
360006,36330.0,구례군,전남,전라남도,MATCH
360008,36310.0,담양군,전남,전라남도,MATCH
360009,36420.0,무안군,전남,전라남도,MATCH
360010,36360.0,보성군,전남,전라남도,MATCH
360012,36480.0,신안군,전남,전라남도,MATCH
370500,37060.0,영주시,경북,경상북도,MATCH
370600,37070.0,영천시,경북,경상북도,MATCH
370701,37011.0,포항남구,경북,경상북도,MATCH
370702,37012.0,포항북구,경북,경상북도,MATCH
370800,37090.0,문경시,경북,경상북도,MATCH
370900,37080.0,상주시,경북,경상북도,MATCH
371000,37100.0,경산시,경북,경상북도,MATCH
380002,38390.0,거창군,경남,경상남도,MATCH
380003,38340.0,고성군,경남,경상남도,MATCH
380005,38350.0,남해군,경남,경상남도,MATCH
380008,38370.0,산청군,경남,경상남도,MATCH
380011,38310.0,의령군,경남,경상남도,MATCH
380014,38330.0,창녕군,경남,경상남도,MATCH
380016,38360.0,하동군,경남,경상남도,MATCH
380017,38320.0,함안군,경남,경상남도,MATCH
380018,38380.0,함양군,경남,경상남도,MATCH
380019,38400.0,합천군,경남,경상남도,MATCH
380100,38070.0,김해시,경남,경상남도,MATCH
380300,38060.0,사천시,경남,경상남도,MATCH
380500,38030.0,진주시,경남,경상남도,MATCH
380701,38114.0,창원마산회원구,경남,경상남도,MATCH
380702,38113.0,창원마산합포구,경남,경상남도,MATCH
380703,38115.0,창원진해구,경남,경상남도,MATCH
380704,38111.0,창원의창구,경남,경상남도,MATCH
380705,38112.0,창원성산구,경남,경상남도,MATCH
380800,38050.0,통영시,경남,경상남도,MATCH
380900,38080.0,밀양시,경남,경상남도,MATCH
381000,38090.0,거제시,경남,경상남도,MATCH
381100,38100.0,양산시,경남,경상남도,MATCH
390100,39020.0,서귀포시,제주,제주특별자치도,MATCH
390200,39010.0,제주시,제주,제주특별자치도,MATCH
410000,29010.0,세종시,세종,세종특별자치시,MATCH
