method,n,beta,t
Region OLS HC1,222,-0.06854146507036402,-2.120510978284018
AKM v4 canonical (WLS),21,0.89013709570502,1.5054538180877712
Drop-C26 sensitivity,222,-0.07559928950186316,-2.2564055753968013
Drop top-3 sensitivity,222,-0.07131872812477007,-2.075516558072103
