outcome,n,beta_std,se_HC1,t_HC1,p_HC1,se_cluster_sido,t_cluster_sido,p_cluster_sido,se_AKM,t_AKM,se_Conley_5km,t_Conley_5km,se_Conley_10km,t_Conley_10km,WCB_sido_p,tF_cutoff,tF_pass_HC1,tF_pass_cluster,tF_pass_AKM,tF_pass_Conley5,r2
despair_total,222,-0.06854146507036402,0.03232308899708213,-2.120510978284018,0.03396297669893838,0.022052879099292665,-3.108050643263285,0.0018832579368240044,0.018788753505666573,-3.6480049115388273,0.03264790320416512,-2.099414000394969,0.03352985046713129,-2.044192387244732,,3.84,False,False,False,False,0.04347234160256641
cancer,222,-0.004979895995698513,0.026360525346865907,-0.1889148994631319,0.8501595157614609,0.03328976005356729,-0.1495924268509371,0.8810861834464806,0.013244148471115252,-0.37600726136220747,0.026321908189488413,-0.18919205856387045,0.026243307695965664,-0.189758701661836,,3.84,False,False,False,False,0.0003919370429390501
cardiovascular,222,-0.01293610790395741,0.02840106068776144,-0.4554797458508944,0.6487641356523013,0.025949798060813347,-0.49850514727095924,0.6181280421466864,0.017175570325017257,-0.7531690452872581,0.028407268848148804,-0.45538020473236757,0.02883671391117204,-0.4485985450285876,,3.84,False,False,False,False,0.0012430612713768552
respiratory,198,-0.011762278919922193,0.04392658564663348,-0.26777129947097655,0.7888753639190701,0.06023668679487913,-0.1952676939217403,0.8451833867441723,0.019910731274727617,-0.5907507242012688,0.04386258904791794,-0.2681619843979666,0.045062079160360445,-0.26102388391943226,,3.84,False,False,False,False,0.00045952632028911644
external_other,222,0.01352742577878565,0.0468239205315948,0.28889989614726763,0.7726579832022592,0.07583764327737584,0.17837349888773774,0.8584296603610759,0.01240007893080775,1.0909144896793381,0.04681600575084277,0.2889487379760528,0.046957419552125595,0.2880785594227422,,3.84,False,False,False,False,0.0018096273271724916
