outcome,t_HC1,p_raw,p_RW_adj,RW_sig
despair_total,-2.120510978284018,0.03396297669893838,0.317,False
cancer,-0.1889148994631319,0.8501595157614609,1.0,False
cardiovascular,-0.4554797458508944,0.6487641356523013,0.996,False
respiratory,-0.26777129947097655,0.7888753639190701,1.0,False
external_other,0.28889989614726763,0.7726579832022592,0.999,False
